date,currency_code,Country,local_price,dollar_ex,dollar_price,Year,Code,gdp_growth,GDP_Per_Capita,GDP,country_code,region,sub_region,GDP_log10
5/1/2004,COP,Colombia,6500,2769,2.35,2004,COL,6.779405439,5684.022856,2.45555E+11,170,Americas,Latin America and the Caribbean,
5/1/2004,CRC,Costa Rica,1130,433,2.61,2004,CRI,7.237732746,7289.904345,31677637820,188,Americas,Latin America and the Caribbean,
5/1/2004,CZK,Czech Republic,56.42,26,2.17,2004,CZE,6.853522334,19193.75482,1.96523E+11,203,Europe,Eastern Europe,11.29341346
5/1/2004,DKK,Denmark,27.75,6,4.62,2004,DNK,3.913007944,60892.77158,3.31091E+11,208,Europe,Northern Europe,11.5199468
5/1/2004,HUF,Hungary,530,211,2.51,2004,HUN,3.851172967,13653.22194,1.37507E+11,348,Europe,Eastern Europe,11.1383237
5/1/2004,IDR,Indonesia,16100,9120,1.77,2004,IDN,5.500951785,2627.905245,6.02627E+11,360,Asia,South-eastern Asia,
5/1/2004,JPY,Japan,262,113,2.32,2004,JPN,1.420006556,44995.49449,5.75285E+12,392,Asia,Eastern Asia,
5/1/2004,MYR,Malaysia,5.04,3,1.68,2004,MYS,5.584847072,8255.286044,2.16305E+11,458,Asia,South-eastern Asia,
5/1/2004,MXN,Mexico,24,11,2.18,2004,MEX,4.495077894,9547.333571,1.02691E+12,484,Americas,Latin America and the Caribbean,
5/1/2004,NZD,New Zealand,4.35,1,4.35,2004,NZL,2.843982348,33903.03488,1.41871E+11,554,Oceania,Australia and New Zealand,
5/1/2004,NOK,Norway,35.5,6,5.92,2004,NOR,2.395092468,89887.01952,4.18934E+11,578,Europe,Northern Europe,11.62214599
5/1/2004,PKR,Pakistan,110,57,1.93,2004,PAK,6.177542036,970.941956,1.59256E+11,586,Asia,Southern Asia,
5/1/2004,PEN,Peru,8.99,3,3,2004,PER,7.528899044,4047.748036,1.1375E+11,604,Americas,Latin America and the Caribbean,
5/1/2004,PHP,Philippines,69,55,1.25,2004,PHL,5.242960356,1878.496933,1.65099E+11,608,Asia,South-eastern Asia,
5/1/2004,PLN,Poland,6.3,3,2.1,2004,POL,6.17963595,10572.19273,4.03237E+11,616,Europe,Eastern Europe,11.60556019
5/1/2004,SAR,Saudi Arabia,2.4,3,0.8,2004,SAU,2.788402228,19367.58275,4.74473E+11,682,Asia,Western Asia,
5/1/2004,SGD,Singapore,3.3,1,3.3,2004,SGP,9.005188001,42785.59267,1.88315E+11,702,Asia,South-eastern Asia,
5/1/2004,ZAR,South Africa,12.4,6,2.07,2004,ZAF,5.603797657,7017.693853,3.40284E+11,710,Africa,Sub-Saharan Africa,
5/1/2004,LKR,Sri Lanka,140,99,1.41,2004,LKA,7.6682919,2275.891728,44825899741,144,Asia,Southern Asia,
5/1/2004,SEK,Sweden,30,7,4.29,2004,SWE,4.699558109,52106.21151,4.73151E+11,752,Europe,Northern Europe,11.6749995
5/1/2004,CHF,Switzerland,6.3,1,6.3,2004,CHE,3.988634221,72823.83726,5.45009E+11,756,Europe,Western Europe,11.73640351
5/1/2004,THB,Thailand,59,40,1.48,2004,THA,4.967916824,4525.958803,2.97865E+11,764,Asia,South-eastern Asia,
5/1/2004,TRY,Turkey,3950000,1531000,2.58,2004,TUR,7.109703427,10252.36049,7.0492E+11,792,Asia,Western Asia,
5/1/2004,UAH,Ukraine,7.25,5,1.45,2004,UKR,7.439902401,2983.857295,1.39608E+11,804,Europe,Eastern Europe,11.14491021
6/1/2007,CAD,Canada,3.88,1,3.88,2007,CAN,-2.928400182,46542.90487,1.56519E+12,124,Americas,Northern America,
5/1/2004,UYU,Uruguay,29.8,29,1.03,2004,URY,4.098577362,9440.50698,31393471353,858,Americas,Latin America and the Caribbean,
6/1/2005,ARS,Argentina,4.75,2,2.38,2005,ARG,9.007650875,9901.511881,3.92935E+11,32,Americas,Latin America and the Caribbean,
6/1/2005,AUD,Australia,3.25,1,3.25,2005,AUS,3.844300542,51024.20683,1.06271E+12,36,Oceania,Australia and New Zealand,
6/1/2005,BRL,Brazil,5.9,2,2.95,2005,BRA,6.069870608,10293.53034,1.95711E+12,76,Americas,Latin America and the Caribbean,
6/1/2008,CAD,Canada,4.09,1,4.09,2008,CAN,3.089494638,47450.31847,1.61354E+12,124,Americas,Northern America,
6/1/2005,CLP,Chile,1500,592,2.53,2005,CHL,4.905324504,12256.42969,2.02601E+11,152,Americas,Latin America and the Caribbean,
6/1/2005,CNY,China,10.5,8,1.31,2005,CHN,14.23138804,3480.152725,4.58644E+12,156,Asia,Eastern Asia,
6/1/2005,COP,Colombia,6500,2327,2.79,2005,COL,6.848654785,5998.788143,2.62372E+11,170,Americas,Latin America and the Caribbean,
